Order_ID,Order_Date,Customer_ID,Customer_Name,City,Restaurant_Name,Food_Category,Item_Name,Quantity,Order_Value,Discount,Delivery_Fee,Delivery_Time_Minutes,Order_Status,Payment_Method,Restaurant_Rating,Transaction_ID
ORD000001,2024-09-05,CUST01103,Rohan,Bangalore,"Urban Tadka",Dessert,"Chicken Biryani",2,1460.16,99.56,75.39,15,Delivered,Cash,3.6,1
ORD000176,2025-08-03,CUST00566,Unknown,Chennai,"Spice Kitchen",Pizza,"Chicken Burger",3,1428.92,242.43,52.76,30,Delivered,Card,3.3,2
ORD000060,2024-02-03,CUST02713,Karan,Mumbai,"Spice Kitchen","North Indian","Chicken Burger",3,862.49,78.44,38.76,64,Pending,Unknown,4.2,3
ORD000002,2024-12-24,CUST01570,Priya,Delhi,"Pizza Point","South Indian",Dosa,3,2097.87,251.37,96.36,19,Delivered,UPI,4.1,4
ORD000292,2024-09-20,CUST02103,Pooja,Mumbai,"Urban Tadka",Pizza,"Veg Burger",1,1562.65,167.42,33.48,17,Pending,Card,4.0,5
ORD000003,2025-08-08,CUST00653,Amit,Bangalore,"Spice Kitchen",Dessert,Margherita,4,152.33,165.17,22.46,80,Delivered,Unknown,3.2,6
ORD000177,2024-07-25,CUST02909,Anjali,Pune,"Pizza Point",Dessert,Dosa,1,2079.97,40.68,37.13,55,Delivered,Card,3.8,7
ORD000061,2025-03-23,CUST02554,Rohan,Bangalore,"Burger Hub",Burger,"Chicken Burger",4,2006.19,128.71,87.92,17,Cancelled,Unknown,3.8,8
ORD000004,2024-07-13,CUST01775,Priya,Delhi,"Urban Tadka",Burger,"Ice Cream",1,596.35,185.31,28.02,64,Pending,UPI,3.2,9
ORD000293,2025-10-27,CUST01744,Amit,Mumbai,"Pizza Point",Pizza,"Chicken Biryani",2,547.04,162.54,91.31,12,Cancelled,Card,2.8,10
ORD000062,2025-10-27,CUST00465,Unknown,Hyderabad,"Pizza Point","North Indian","Chicken Biryani",3,857.48,162.53,69.36,60,Cancelled,Card,5.0,11
